Name,Type,Description,Location
Old Spanish,National Historic Trail," Follow the routes of mule pack trains across the Southwest on the Old Spanish National Historic Trail between Santa Fe, New Mexico, and Los Angeles, California. New Mexican traders moved locally produced merchandise across what are now six states to exchange for mules and horses. ","AZ,CA,CO,NV,NM,UT"
Pony Express,National Historic Trail, It is hard to believe that young men once rode horses to carry mail from Missouri to California in the unprecedented time of only 10 days. This relay system along the Pony Express National Historic Trail in eight states was the most direct and practical means of east-west communications before the telegraph. ,"Various States CA,CO,KS,MO,NE,NV,UT,WY"
Rocky Mountain,National Park," Rocky Mountain National Park’s 415 square miles encompass and protect spectacular mountain environments. Enjoy Trail Ridge Road – which crests at over 12,000 feet including many overlooks to experience the subalpine and alpine worlds – along with over 300 miles of hiking trails, wildflowers, wildlife, starry nights, and fun times. In a world of superlatives, Rocky is on top! ","Estes Park and Grand Lake, CO"
Sand Creek Massacre,National Historic Site," The Sand Creek Massacre: profound, symbolic, spiritual, controversial, a site unlike any other in America. As 675 cavalrymen came around a prairie bend, the camps of Chiefs Black Kettle, White Antelope, and Left Hand lay in the valley before them.  Chaotic, horrific, tumultuous, and bloody, the events of November 29, 1864 changed the course of history. ","Kiowa County, CO"
Santa Fe,National Historic Trail," You can almost hear the whoops and cries of ""All's set!"" as trail hands hitched their oxen to freight wagons carrying cargo between western Missouri and Santa Fe, New Mexico. Follow the Santa Fe National Historic Trail through five states and you'll find adventure and evidence of past travelers who made this remarkable trip before you! ","CO,KS,MO,NM,OK"
Yucca House,National Monument," Through a continuing tradition of public and private cooperation, Yucca House National Monument preserves one of the largest archeological sites in SW Colorado. The unexcavated nature of the site preserves its integrity and beauty for future generations of scientists and visitors. Experience a sense of discovery by visiting a site that has remained largely untouched for the past 800 years! ","Cortez, CO"
Appalachian,National Scenic Trail," The Appalachian Trail is a 2,180+ mile long public footpath that traverses the scenic, wooded, pastoral, wild, and culturally resonant lands of the Appalachian Mountains. Conceived in 1921, built by private citizens, and completed in 1937, today the trail is managed by the National Park Service, US Forest Service, Appalachian Trail Conservancy, numerous state agencies and thousands of volunteers. ","Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV"
New England,National Scenic Trail," From the Sound to the Summits: the New England Trail covers 215 miles from Long Island Sound across long ridges to scenic mountain summits in Connecticut and Massachusetts. The trail offers panoramic vistas and close-ups of New England’s natural and cultural landscape: traprock ridges, historic village centers, farmlands, unfragmented forests, quiet streams, steep river valleys and waterfalls. ","MA,CT"
The Last Green Valley,National Heritage Corridor," Discover the beauty of The Last Green Valley National Heritage Corridor!  Spanning 35 towns in northeastern Connecticut and south-central Massachusetts, The Last Green Valley is surprisingly rural and uniquely historic. With 1,100 square miles that are still 77% forests and farms, the pastoral landscape is interspersed with powerful rivers, mill villages, and vibrant town centers. ","Danielson, CT,MA"
Washington-Rochambeau,National Historic Trail," In 1781, General Rochambeau’s French Army joined forces with General Washington’s Continental Army to fight the British Army in Yorktown, Virginia. With the French Navy in support, the allied armies moved hundreds of miles to become the largest troop movement of the American Revolution. The effort and cooperation between the two sides led to a victory at Yorktown and secured American independence. ","MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC"
Weir Farm,National Historic Site," Visit the home and studio of America's most beloved Impressionist, J. Alden Weir, and walk in the footsteps of generations of world-class artists. Set amidst more than 60 acres of painterly woods, fields, and waterways, you’ll soon see why Weir described his home as the ""Great Good Place."" Weir’s farm is a national legacy to American Impressionism, the creative spirit, and historic preservation. ","Ridgefield & Wilton, CT"
Captain John Smith Chesapeake,National Historic Trail," Four hundred years ago Englishman John Smith and a small crew of adventurers set out in an open boat to explore the Chesapeake Bay. Between 1607 and 1609 Smith and his crew mapped nearly 3,000 miles of the Bay and rivers and documented American Indian communities. Smith’s map and journals are a remarkable record of the 17th-century Chesapeake. Come join the adventure on the Chesapeake Bay! ","Various States VA,MD,DE,DC,PA,NY"
Chesapeake Bay,Not Available," NPS helps you learn about and enjoy the Chesapeake Bay, the largest estuary in North America. Here, you can visit major league cities, colonial towns, American Indian landscapes, farms and fishing villages. You can learn to kayak, pick crabs, go fishing, tour a lighthouse, slurp oysters, and slow down to enjoy the natural beauty of the Chesapeake. ","Chesapeake Bay Watershed, DC,DE,MD,NY,PA,VA,WV"
First State,National Historical Park," Famous as the First State to ratify the Constitution, Delaware was born out of a conflict among three world powers for dominance of the Delaware Valley.  From this beginning, the region developed a distinct character that tolerated diversity in religion and national origin and valued independence. ","DE,PA"
Washington-Rochambeau,National Historic Trail," In 1781, General Rochambeau’s French Army joined forces with General Washington’s Continental Army to fight the British Army in Yorktown, Virginia. With the French Navy in support, the allied armies moved hundreds of miles to become the largest troop movement of the American Revolution. The effort and cooperation between the two sides led to a victory at Yorktown and secured American independence. ","MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC"
African American Civil War Memorial,Not Available," Over 200,000 African-American soldiers and sailors served in the U.S. Army and Navy during the Civil War. Their service helped to end the war and free over four million slaves. The African American Civil War Memorial honors their service and sacrifice. ","Washington, DC"
Anacostia,Park," Welcome to Anacostia Park, your neighborhood national park in the heart of Washington, DC! Enjoy exercise along the river trail or relax by the water, Anacostia Park is a breath of fresh air and a space to unwind amid a bustling city. ","Washington, DC"
Belmont-Paul Women's Equality,National Monument," Home to the National Woman's Party for nearly 90 years, this was the epicenter of the struggle for women's rights. From this house in the shadow of the U.S. Capitol and Supreme Court, Alice Paul and the NWP developed innovative strategies and tactics to advocate for the Equal Rights Amendment and equality for women. President Barack Obama designated the national monument on April 12, 2016. ","Washington, DC"
Capitol Hill Parks,Not Available," The Capitol Hill Parks include several park areas east of the U.S. Capitol. Included in this group are Folger, Lincoln, Stanton, and Marion Parks, the Eastern Market and Potomac Avenue Metro stations, and several smaller land parcels such as Seward Square, Twining Square, the Maryland Avenue Triangles, the Pennsylvania Avenue Medians, and 59 inner-city triangles and squares. ","Washington, DC"
Captain John Smith Chesapeake,National Historic Trail," Four hundred years ago Englishman John Smith and a small crew of adventurers set out in an open boat to explore the Chesapeake Bay. Between 1607 and 1609 Smith and his crew mapped nearly 3,000 miles of the Bay and rivers and documented American Indian communities. Smith’s map and journals are a remarkable record of the 17th-century Chesapeake. Come join the adventure on the Chesapeake Bay! ","Various States VA,MD,DE,DC,PA,NY"
Carter G. Woodson Home,National Historic Site," Before Dr. Carter G. Woodson, there was very little accurate written history about the lives and experiences of Americans of African descent. Today a National Historic Site, Dr. Woodson’s home served as the headquarters for the Association for the Study of African American Life and History. Dr. Woodson established Negro History Week here in 1926, which we celebrate today as Black History Month. ","Washington, DC"
Chesapeake & Ohio Canal,National Historical Park," Preserving America's early transportation history, the C&O Canal began as a dream of passage to Western wealth. Operating for nearly 100 years the canal was a lifeline for communities along the Potomac River as coal, lumber, and agricultural products floated down the waterway to market. Today it endures as a pathway for discovering historical, natural, and recreational treasures. ","Potomac River, DC,MD,WV"
Chesapeake Bay,Not Available," NPS helps you learn about and enjoy the Chesapeake Bay, the largest estuary in North America. Here, you can visit major league cities, colonial towns, American Indian landscapes, farms and fishing villages. You can learn to kayak, pick crabs, go fishing, tour a lighthouse, slurp oysters, and slow down to enjoy the natural beauty of the Chesapeake. ","Chesapeake Bay Watershed, DC,DE,MD,NY,PA,VA,WV"
Civil War Defenses of Washington,Not Available," On forested hills surrounding the nation's capital are the remnants of a complex system of Civil War fortifications. Built by Union forces, these strategic buttresses transformed the young capital into one of the world's most fortified cities. This month, we will feature Fort Stanton, a massive earthwork which protected the Washington DC along the Anacostia River. ","Washington, DC,MD,VA"
Constitution Gardens,Not Available," Officially established in 1965, National Mall and Memorial Parks actually protects some of the older parkland in the National Park System. Areas within this premier park provide visitors with ample opportunities to commemorate presidential legacies; honor the courage and sacrifice of war veterans; and celebrate the United States commitment to freedom and equality. ","Washington, DC"
Ford's Theatre,Not Available," Explore Ford's Theatre NHS, discover Abraham Lincoln's life in Washington, D.C., the struggle for a united country, and the motivation behind Lincoln's assassination. The National Park Service and the Ford's Theatre Society present a variety of programs year round. ","Washington, DC"
Fort Dupont Park,Not Available," Welcome to Fort Dupont Park in Washington DC! At 376-acres, the wooded park was once home to earthen fort built to protect the capital during the Civil War. Today, visitors can see the fort's earthworks and escape to the great outdoors. Activities include picnics, nature walks, biking, gardening, environmental education, music, and ranger-led programs. ","Washington, DC"
Franklin Delano Roosevelt Memorial,Not Available, These words by President Roosevelt ushered the United States into World War Two and defined what it is to be an American. Stop by this secluded memorial and begin to understand the Roosevelt legacy in the park's largest memorial. ,"Washington, DC"
Frederick Douglass,National Historic Site," Frederick Douglass spent his life fighting for justice and equality. Born into slavery in 1818, he escaped as a young man and became a leading voice in the abolitionist movement. People everywhere still find inspiration today in his tireless struggle, brilliant words, and inclusive vision of humanity. Douglass's legacy is preserved here at Cedar Hill, where he lived his last 17 years. ","Washington, DC"
George Washington,Memorial Parkway," The George Washington Memorial Parkway was designed for recreational driving. It links sites that commemorate important episodes in American history and preserve habitat for local wildlife. The parkway and its associated trails provide a scenic place to play and rest in the busy Washington, DC metropolitan area. ","DC, MD, VA"
Kenilworth Park & Aquatic Gardens,Not Available," In an age old dance wind, water, and land combine here.  Sparkling in the sun on a breezy day, this natural area of Anacostia Park has origins in a 1926 act of Congress to preserve the forests, water quality, and recreation value of the waterways of Washington, DC.  The park reflects the policies that affect rivers and wetlands.  Come, join the dance. ","Washington, DC"
Korean War Veterans Memorial,Not Available, Our nation honors her sons and daughters who answered the call to defend a country they never knew and a people they never met. ,"Washington, DC"
LBJ Memorial Grove on the Potomac,Not Available," From this distance the seat of national power appears pristine across the river, so President Johnson came here often when he needed to escape from the stresses of building a Great Society. After he died, his wife chose this place for his memorial. A landscape of serpentine paths, white pines, a granite monolith, and an open meadow honors his legacy of social justice and conservation legislation. ","Washington, DC"
Lincoln Memorial,Not Available," ""In this temple, as in the hearts of the people for whom he saved the Union, the memory of Abraham Lincoln is enshrined forever."" Beneath these words, the 16th President of the United States sits immortalized in marble as an enduring symbol of unity, strength, and wisdom. ","Washington, DC"
"Martin Luther King, Jr. Memorial",Not Available," Located in downtown Washington, D.C., the memorial honors Martin Luther King, Jr.'s legacy and the struggle for freedom, equality, and justice. ","Washington, DC"
Mary McLeod Bethune Council House,"National Historic Site
"," Mary McLeod Bethune achieved her greatest recognition at the Washington, DC townhouse that is now this National Historic Site. The Council House was the first headquarters of the National Council of Negro Women (NCNW) and was Bethune’s last home in Washington, DC. From here, Bethune and the NCNW spearheaded strategies and developed programs that advanced the interests of African American women. ","Washington, DC"
National Capital Parks-East,Not Available," Welcome to National Capital Parks-East. We invite you to journey to parks Beyond the Capital of Washington, D.C.  National Capital Parks-East is 13 park sites, parkways and statuary covering more than 8,000 acres of historic, cultural, and recreational parklands from Capitol Hill to the nearby Maryland suburbs ","Washington, DC"
National Mall and Memorial Parks,Not Available," Each year, millions of people visit National Mall and Memorial Parks to recreate, to commemorate presidential legacies, to honor our nation's veterans, to make their voices heard, and to celebrate our nation's commitment to freedom and equality. Note: The Washington Monument is currently closed for modernization of the elevator. ","Washington, DC"
Pennsylvania Avenue,Not Available," A street unlike any other.  It is known the world over as the heart of the Nation's Capital. America's history has marched, paraded, promenaded, and protested its way along the Avenue. ","Washington, DC"
Potomac Heritage,National Scenic Trail," Linking the tidal Potomac and upper Youghiogheny river basins, the evolving Potomac Heritage National Scenic Trail network lies within a corridor rich in historic pathways and waterways. You can travel this historic corridor today—on foot, bicycle and horse and by boat—exploring contrasting landscapes between the Chesapeake Bay and the Allegheny Plateau. ","the corridor between the Chesapeake Bay and the Allegheny Highlands, DC,MD,PA,VA"
President's Park (White House),Not Available," Every president except George Washington has called the White House and its surrounding grounds his place of work, rest, and solitude. Recognizable around the world, the White House stands as a symbol of democracy. The White House and its park grounds serve not only as the seat of the executive branch of government of the United States of America, but also as an iconic place for civil discourse. ","Washington, DC"
Rock Creek,Park," Rock Creek Park is truly a gem in our nation's capital. This 1,754 acre city park was officially authorized in 1890, making it the third national park to be designated by the federal government. It offers visitors the opportunity to escape the bustle of the city and find a peaceful refuge, recreation, fresh air, majestic trees, wild animals, and thousands of years of human history. ","Washington, DC"
Star-Spangled Banner,National Historic Trail," For three years the young United States was embroiled in the War of 1812 and the Chesapeake Bay region felt the brunt of it, choked by shipping blockades and ravaged by enemy raids. Through sites and landscapes in Virginia, the District of Columbia, and throughout Maryland, the Trail tells the stories of the events, people, and places that led to the birth of our National Anthem. ","DC, MD, VA"
Theodore Roosevelt Island,Not Available," In the 1930s, landscape architects transformed Mason’s Island from neglected, overgrown farmland into Theodore Roosevelt Island, a memorial to America’s 26th president. They conceived a “real forest” designed to mimic the natural forest that once covered the island. Today miles of trails through wooded uplands and swampy bottomlands honor the legacy of a great outdoorsman and conservationist. ","Washington, DC"
Thomas Jefferson Memorial,Not Available," Author of the Declaration of Independence, statesman and visionary for the founding of a nation. ","Washington, DC"
Vietnam Veterans,Memorial," Honoring the men and women who served in the controversial Vietnam War, the Vietnam Veterans Memorial chronologically lists the names of more than 58,000 Americans who gave their lives in service to their country. ","Washington, DC"
Washington Monument,Not Available," Built to honor George Washington, the United States' first president, the 555-foot marble obelisk towers over Washington, D.C. The Washington Monument is currently closed to visitors to allow for modernization of the elevator. ","Washington, DC"
Washington-Rochambeau,National Historic Trail," In 1781, General Rochambeau’s French Army joined forces with General Washington’s Continental Army to fight the British Army in Yorktown, Virginia. With the French Navy in support, the allied armies moved hundreds of miles to become the largest troop movement of the American Revolution. The effort and cooperation between the two sides led to a victory at Yorktown and secured American independence. ","MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC"
World War II Memorial,Not Available," Through stone architecture and bronze sculptures, the World War II Memorial recognizes the ways Americans served, honors those who fell, and recognizes the victory they achieved to restore freedom and end tyranny around the globe. ","
Washington, DC"
Big Cypress,National Preserve," The freshwaters of the Big Cypress Swamp, essential to the health of the neighboring Everglades, support the rich marine estuaries along Florida's southwest coast. Protecting over 729,000 acres of this vast swamp, Big Cypress National Preserve contains a mixture of tropical and temperate plant communities that are home to a diversity of wildlife, including the elusive Florida panther. ","Ochopee, FL"
Biscayne,National Park," Within sight of downtown Miami, yet worlds away, Biscayne protects a rare combination of aquamarine waters, emerald islands, and fish-bejeweled coral reefs. Here too is evidence of 10,000 years of human history, from pirates and shipwrecks to pineapple farmers and presidents. Outdoors enthusiasts can boat, snorkel, camp, watch wildlife…or simply relax in a rocking chair gazing out over the bay. ","Miami, Key Biscayne & Homestead, FL"
Canaveral,National Seashore," Since ancient times, this barrier island has provided sanctuary to both people and wildlife. Many threatened and endangered species find refuge here, including sea turtles who nest on its shores. Like first natives and early settlers, you too can find tranquility. Stroll down a wooded trail. Reflect on a pristine undeveloped shoreline - the way things used to be. "," Titusville and New Smyrna Beach, FL"
Castillo de San Marcos,National Monument," A monument not only of stone and mortar but of human determination and endurance, the Castillo de San Marcos symbolizes the clash between cultures which ultimately resulted in our uniquely unified nation.  Still resonant with the struggles of an earlier time, these original walls provide tangible evidence of America’s grim but remarkable history. ","St. Augustine, FL"
De Soto,National Memorial," In May 1539, Conquistador Hernando de Soto’s army of soldiers, hired mercenaries, craftsmen, and clergy made landfall in Tampa Bay. They were met with fierce resistance of indigenous people protecting their homelands. De Soto’s quest for glory and gold would be a four year, four thousand mile odyssey of intrigue, warfare, disease, and discovery that would form the history of the United States. ","Bradenton, FL"
Dry Tortugas,National Park," Almost 70 miles (113 km) west of Key West lies the remote Dry Tortugas National Park. This 100-square mile park is mostly open water with seven small islands.  Accessible only by boat or seaplane, the park is known the world over as the home of magnificent Fort Jefferson, picturesque blue waters, superlative coral reefs and marine life, and the vast assortment of bird life that frequents the area. ","Key West, FL"
Everglades,National Park," Everglades National Park protects an unparalleled landscape that provides important habitat for numerous rare and endangered species like the manatee,  American crocodile, and the elusive Florida panther. An international treasure as well -  a World Heritage Site, International Biosphere Reserve, a Wetland of International Importance, and a specially protected area under the Cartagena Treaty. ","Miami, Naples, and Homestead, FL"
Fort Caroline,National Memorial," At the settlement of la Caroline, French settlers struggled for survival in a new world.  Many sought religious freedom in a new land, while others were soldiers or tradesmen starting a new life.  The climactic battles fought here between the French and Spanish marked the first time that European nations fought for control of lands in what is now the United States.  It would not be the last time.  ","the Timucuan Preserve; Jacksonville, FL"
Fort Matanzas,National Monument," Coastal Florida was a major field of conflict as European nations fought for control in the New World. As part of this struggle, Fort Matanzas guarded St. Augustine’s southern river approach. The colonial wars are over, but the monument is still protecting—not just the historic fort, but also the wild barrier island and the plants and animals who survive there amidst a sea of modern development ","St. Augustine, FL"
Gulf Islands,National Seashore," What is it that entices people to the sea?  Poet John Masefield wrote, “I must go down to the seas again, for the call of the running tide is a wild call and a clear call that may not be denied.”  Millions of visitors are drawn to the islands in the northern Gulf of Mexico for the white sandy beaches, the aquamarine waters, a boat ride, a camping spot, a tour of an old fort, or a place to fish. ","Gulf Breeze, Florida  and Ocean Springs, Mississippi            , FL,MS"
Gullah/Geechee,Cultural Heritage Corridor," Designated by Congress in 2006, the Gullah Geechee Cultural Heritage Corridor extends from Wilmington, North Carolina in the north to Jacksonville, Florida in the south. It is home to one of America's most unique cultures, a tradition first shaped by captive Africans brought to the southern United States from West Africa and continued in later generations by their descendents. ","FL,GA,NC,SC"
Timucuan,Ecological & Historic Preserve," Visit one of the last unspoiled coastal wetlands on the Atlantic Coast. Discover 6,000 years of human history and experience the beauty of salt marshes, coastal dunes, and hardwood hammocks. The Timucuan Preserve includes Fort Caroline and Kingsley Plantation. ","Jacksonville, FL"
Andersonville,National Historic Site," The Camp Sumter military prison at Andersonville was one of the largest Confederate military prisons during the Civil War. During the 14 months the prison existed, more than 45,000 Union soldiers were confined here. Of these, almost 13,000 died here. Today, Andersonville National Historic Site is a memorial to all American prisoners of war throughout the nation's history. ","Andersonville, GA"
Appalachian,National Scenic Trail," The Appalachian Trail is a 2,180+ mile long public footpath that traverses the scenic, wooded, pastoral, wild, and culturally resonant lands of the Appalachian Mountains. Conceived in 1921, built by private citizens, and completed in 1937, today the trail is managed by the National Park Service, US Forest Service, Appalachian Trail Conservancy, numerous state agencies and thousands of volunteers. ","Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV"
Arabia Mountain,National Heritage Area," For millions of years, granite monadnocks have stood watch over the rivers and forests of Georgia. These breathtaking landscapes are the cornerstones of the Arabia Mountain National Heritage Area, which serves to protect & promote these outcrops and the surrounding region as a recreational wonder and national treasure. ",Not Available
Augusta Canal,National Heritage Area," The Augusta Canal helped usher the Industrial Revolution into the American South. Built in 1845 as a source of power, water, and transportation, the canal today is the only fully intact American industrial canal in continuous operation. By 1847 the first mills opened, followed by the massive Civil War era Confederate Powder Works and many more industries in the later decades of the 19th century. ","Augusta, GA"
Chattahoochee River,National Recreation Area," Today the river valley attracts us for so many reasons. Take a solitary walk to enjoy nature’s display, raft leisurely through the rocky shoals with friends, fish the misty waters as the sun comes up, or have a picnic on a Sunday afternoon. Get Outdoors and experience your Chattahoochee River National Recreation Area as you have never done before. ","Atlanta, GA"
Chickamauga & Chattanooga,National Military Park," In 1863, Union and Confederate forces fought for control of Chattanooga, known as the ""Gateway to the Deep South."" The Confederates were victorious at nearby Chickamauga in September. However, renewed fighting in Chattanooga that November provided Union troops victory and control of the city. After the fighting, a Confederate soldier ominously wrote, ""This...is the death-knell of the Confederacy."" ","Fort Oglethorpe, GA,TN"
Cumberland Island,National Seashore," St Marys is the gateway to Cumberland Island, Georgia's largest and southernmost barrier island. Here pristine maritime forests, undeveloped beaches and wide marshes whisper the stories of both man and nature. Natives, missionaries, enslaved African Americans and Wealthy Industrialists all walked here.  Cumberland Island is also home to over 9,800 acres of Congressionally designated Wilderness. ","Saint Marys, GA"
Fort Frederica,National Monument," Georgia's fate was decided in 1742 when Spanish and British forces clashed on St. Simons Island. Fort Frederica's troops defeated the Spanish, ensuring Georgia's future as a British colony. Today, the archeological remnants of Frederica are protected by the National Park Service. ","St. Simons Island, GA"
Fort Pulaski,National Monument," For much of the 19th century, masonry fortifications were the United States’ main defense against overseas enemies. However, during the Civil War, new technology proved its superiority to these forts. The Union army used rifled cannon and compelled the Confederate garrison inside Fort Pulaski to surrender. The siege was a landmark experiment in the history of military science and invention. ","Savannah, GA"
Gullah/Geechee,Cultural Heritage Corridor," Designated by Congress in 2006, the Gullah Geechee Cultural Heritage Corridor extends from Wilmington, North Carolina in the north to Jacksonville, Florida in the south. It is home to one of America's most unique cultures, a tradition first shaped by captive Africans brought to the southern United States from West Africa and continued in later generations by their descendents. ","FL,GA,NC,SC"
Jimmy Carter,National Historic Site," Few U.S. Presidents have had such close ties with where they were born and raised. The rural southern culture of Plains, Georgia, that revolves around farming, church and school, had a large influence in molding the character and in shaping the political policies of the 39th President of the United States. ","Plains, GA"
Kennesaw Mountain,National Battlefield Park," Kennesaw Mountain National Battlefield Park is a 2,965 acre National Battlefield that preserves a Civil War battleground of the Atlanta Campaign. Opposing forces maneuvered and fought here from June 19, 1864 until July 2, 1864. Although most famous as a Civil War battlefield, Kennesaw Mountain has a much richer story. ","Kennesaw, GA"
"Martin Luther King, Jr.",National Historical Park," A young boy grows up in a time of segregation…A dreamer is moved by destiny into leadership of the modern civil rights movement…This was Martin Luther King, Jr.  Come hear his story, visit the home of his birth, and where he played as a child.  Walk in his footsteps, and hear his voice in the church where he moved hearts and minds.  Marvel at how he was an instrument for social change. ","Atlanta, GA"
Ocmulgee,National Monument," Welcome to Ocmulgee Mounds National Historical Park. This park is a prehistoric American Indian site.  American Indians first came here during the Paleo-Indian period hunting Ice Age mammals. Many different American Indian cultures occupied this land for thousands of years.  Around 900 CE, the Mississippian Period began. They constructed mounds for their elite, which remain today. ","Macon, GA"
Trail Of Tears,National Historic Trail," Remember and commemorate the survival of the Cherokee people, forcefully removed from their homelands in Georgia, Alabama, and Tennessee to live in Indian Territory, now Oklahoma. They traveled by foot, horse, wagon, or steamboat in 1838-1839. ","AL,AR,GA,IL,KY,MO,NC,OK,TN"
War In The Pacific,National Historical Park," War in the Pacific National Historical Park was established to commemorate the bravery, courage, and sacrifice of those participating in the campaigns of the Pacific Theater of World War II.  At War in the Pacific National Historical Park, the former battlefields, gun emplacements, trenches, and historic structures all serve as silent reminders of the bloody World War II battles. ","Asan, GU"
Ala Kahakai,National Historic Trail," Established in 2000 for the preservation, protection and interpretation of traditional Native Hawaiian culture and natural resources, Ala Kahakai National Historic Trail is a 175 mile corridor and trail network of cultural and historical significance. It traverses through hundreds of ancient Hawaiian settlement sites and over 200 ahupua'a (traditional land divisions). Connect now! ","the Island of Hawaii, HI"
Haleakalā,National Park," This special place vibrates with stories of ancient and modern Hawaiian culture and protects the bond between the land and its people. The park also cares for endangered species, some of which exist nowhere else. Come visit this special place - renew your spirit amid stark volcanic landscapes and sub-tropical rain forest with an unforgettable hike through the backcountry. ","Kula, Maui, HI"
Hawai'i Volcanoes,National Park," Hawai‘i Volcanoes National Park protects some of the most unique geologic, biologic, and cultural landscapes in the world. Extending from sea level to the summit of Mauna Loa at 13,677 feet, the park encompasses the summits of two of the world's most active volcanoes - Kilauea and Mauna Loa. Learn more about this special place and traditional Hawaiian culture connected to these landscapes. ","Hilo, HI"
Honouliuli,National Monument," Although not yet open to the public, Honouliuli National Monument (NM) will tell the history of internment, martial law, and the experience of prisoners of war in Hawai‘i during World War II. Honouliuli NM will be a place to reflect on wartime experiences and recommit ourselves to the pursuit of freedom and justice. ",HI
Kalaupapa,National Historical Park," When Hansen's disease (leprosy) was introduced to the Hawaiian Islands, King Kamehameha V banished all afflicted to the isolated Kalaupapa peninsula on the north shore of Molokai. Since 1866, more than 8000 people, mostly Hawaiians, have died at Kalaupapa. Once a prison, Kalaupapa is now refuge for the few remaining residents who are now cured, but were forced to live their lives in isolation. ","Kalaupapa, HI"
Kaloko-Honokōhau,National Historical Park," To survive in a hot and arid environment the native Hawaiians (kanaka maoli) used ancient fishing skills, including the building of fishponds, and the knowledge of the location of precious fresh water (wai) that flows into the many brackish pools throughout the park. The spirit of the people (poe) and the knowledge of the elders (kupuna) created a tradition of respect and reverence for this area. ","Kailua-Kona, HI"
Pu`uhonua O Hōnaunau,National Historical Park," Imagine you had just broken the sacred laws, the kapu, and the only punishment was death. Your only chance of survival is to elude your pursuers and reach the Pu'uhonua, a place of refuge. The Pu'uhonua protected the kapu breaker, defeated warriors, as well as civilians during the time of battle. No physical harm could come to those who reached the boundaries of the Pu'uhonua. ","Honaunau, HI"
Pu`ukoholā Heiau,National Historic Site," How many places in America can you walk in the footsteps of a king? Where else has a stranded sailor risen up to become a great chief over an entire island? Where else can you experience the culminating event of a people, foretold from centuries past? Where else can you stand on a beach and watch as sharks pass over a submerged temple? Experience all this and much more – only at Pu'ukohola Heiau! ","Kawaihae, HI"
World War II Valor in the Pacific,National Monument," At World War II Valor in the Pacific National Monument, home of the USS Arizona Memorial, learn about one of the most pivotal moments in US history: the attack on Pearl Harbor, and the subsequent entry of the United States into World War II. The monument preserves and interprets the stories of the Pacific War, from the internment of Japanese Americans to the battles in the Aleutians. ","Honolulu, HI,AK,CA"
California,National Historic Trail," Follow in the footsteps of over 250,000 emigrants who traveled to the gold fields and rich farmlands of California during the 1840s and 1850s: the greatest mass migration in American history. The California National Historic Trail is over 5,000 miles long and covers portions of 10 states. Step into history along more than 1,000 miles of ruts and traces from travelers and their overland wagons. ","Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY"
City Of Rocks,National Reserve," Emigrants of the California Trail describe the rocks here in vivid detail as ""a city of tall spires,” “steeple rocks,"" and ""the silent city."" Today, this backcountry byway attracts rock climbers, campers, hikers, hunters, and those with the spirit of adventure. There's inspirational scenery, exceptional opportunities for geologic study, and remnants of the Old West awaiting your discovery. ","Almo, ID"
Craters Of The Moon,National Monument & Preserve," Craters of the Moon is a vast ocean of lava flows with scattered islands of cinder cones and sagebrush. We invite you to explore this ""weird and scenic landscape"" where yesterday's volcanic events are likely to continue tomorrow... ","Arco, Carey and Rupert , ID"
Hagerman Fossil Beds,National Monument," Do you know horses evolved in North America? The Hagerman Horse, Equus simplicidens, is the first true one toed horse. It's the park's most famous fossil but we have fossil evidence of over two hundred different species. From saber-toothed cat, mastodon, bear, camel, and ground sloth, to much smaller animals like rodents and frogs, the scientific study of Pliocene fossils is the key to Hagerman. ","Hagerman, ID"
Ice Age Floods,National Geologic Trail," ""At the end of the last Ice Age, some 12,000 to 17,000 years ago, a series of cataclysmic floods occurred in what is now the northwest region of the United States, leaving a lasting mark of dramatic and distinguishing features on the landscape of parts of the States of Montana, Idaho, Washington and Oregon."" Public Law 111-11, March 30, 2009 ","WA,OR,ID,MT"
Lewis & Clark,National Historic Trail," Between May 1804 and September 1806, 31 men, one woman, and a baby traveled from the plains of the Midwest to the shores of the Pacific Ocean. They called themselves the Corps of Discovery. In their search for a water route to the Pacific Ocean, they opened a window into the west for the young United States. Read the Lewis and Clark Pups blog, the Newfie News! ","Eleven States: ID,IL,IA,KS,MO,MT,NE,ND,OR,SD,WA"
Minidoka,National Historic Site," The Pearl Harbor attack intensified existing hostility towards Japanese Americans. As wartime hysteria mounted, President Roosevelt signed Executive Order 9066 forcing over 120,000 West Coast persons of Japanese ancestry (Nikkei) to leave their homes, jobs, and lives behind and move to one of ten prison camps spread across the nation all because of their ethnicity.  This is Minidoka's story. ","Jerome, ID,WA"
Nez Perce,National Historical Park," For thousands of years the valleys, prairies, mountains, and plateaus of the inland northwest have been home to the nimí·pu· (Nez Perce) people. Extremely resilient, they have adapted and survived the settling of the United States. Explore these places. Learn their stories. ","four states ID,MT,OR,WA"
